trade_date,total_amt_yi,dual_amt_yi,dual_ratio,rzye_yi,circ_mv_yi,margin_ratio,turnover
20150105,8275.8,344.3,0.0416,10295.8,312238.2,0.03297,0.0265
20150106,8197.1,472.8,0.0577,10377.3,314688.6,0.03298,0.02605
20150107,6649.3,379.0,0.057,10493.0,316583.5,0.03314,0.021
20150108,6210.6,392.0,0.0631,10530.2,310556.2,0.03391,0.02
20150109,6841.1,409.2,0.0598,10605.0,308972.7,0.03432,0.02214
20150112,5570.4,360.0,0.0646,10719.5,304141.6,0.03525,0.01832
20150113,4597.1,404.0,0.0879,10781.2,306462.7,0.03518,0.015
20150114,4470.1,347.5,0.0777,10909.5,305196.6,0.03575,0.01465
20150115,5167.1,322.7,0.0624,11061.8,314206.6,0.03521,0.01644
20150116,6119.1,413.7,0.0676,11113.6,318718.4,0.03487,0.0192
20150119,6854.6,584.5,0.0853,10928.5,294948.5,0.03705,0.02324
20150120,6918.8,576.1,0.0833,10908.9,301632.7,0.03617,0.02294
20150121,7910.9,652.5,0.0825,10956.2,314462.0,0.03484,0.02516
20150122,6960.8,576.1,0.0828,11059.1,316637.8,0.03493,0.02198
20150123,6965.9,531.8,0.0763,11120.2,316519.0,0.03513,0.02201
20150126,6284.8,458.5,0.0729,11201.5,321391.6,0.03485,0.01956
20150127,7128.1,500.2,0.0702,11245.9,319481.5,0.0352,0.02231
20150128,5935.2,499.8,0.0842,11277.9,315671.0,0.03573,0.0188
20150129,5159.3,379.1,0.0735,11302.9,312405.2,0.03618,0.01651
20150130,4976.4,380.6,0.0765,11259.3,306782.4,0.0367,0.01622
20150202,4562.1,373.7,0.0819,11274.3,298676.5,0.03775,0.01527
20150203,5059.4,540.5,0.1068,11267.0,306714.9,0.03673,0.0165
20150204,5227.6,511.5,0.0978,11294.8,304914.5,0.03704,0.01714
20150205,6191.9,660.5,0.1067,11353.6,301811.1,0.03762,0.02052
20150206,4909.8,552.4,0.1125,11381.6,295569.5,0.03851,0.01661
20150209,4258.6,415.6,0.0976,11478.1,296760.7,0.03868,0.01435
20150210,3912.5,363.7,0.093,11641.3,301971.0,0.03855,0.01296
20150211,4041.3,450.6,0.1115,11739.6,305997.1,0.03836,0.01321
20150212,4309.6,481.1,0.1116,11729.2,307601.4,0.03813,0.01401
20150213,5528.1,596.9,0.108,11391.7,311338.7,0.03659,0.01776
20150216,5320.7,661.6,0.1243,11326.8,314946.8,0.03596,0.01689
20150217,5037.4,549.3,0.109,11057.8,318680.6,0.0347,0.01581
20150225,5089.9,562.8,0.1106,11356.0,316994.8,0.03582,0.01606
20150226,5869.0,544.8,0.0928,11475.5,322910.2,0.03554,0.01818
20150227,6120.4,630.2,0.103,11523.8,324559.7,0.03551,0.01886
20150302,7835.6,850.7,0.1086,11724.7,328208.5,0.03572,0.02387
20150303,8333.4,854.6,0.1026,11918.0,321966.9,0.03702,0.02588
20150304,6824.9,751.8,0.1102,12047.0,324942.2,0.03707,0.021
20150305,7292.0,808.6,0.1109,12192.0,321962.4,0.03787,0.02265
20150306,6431.2,709.2,0.1103,12267.1,320083.7,0.03832,0.02009
20150309,6462.5,636.5,0.0985,12416.7,322087.7,0.03855,0.02006
20150310,6425.6,727.8,0.1133,12625.0,325434.4,0.03879,0.01974
20150311,6350.1,750.0,0.1181,12860.2,326464.3,0.03939,0.01945
20150312,7221.5,732.4,0.1014,13082.1,331187.6,0.0395,0.0218
20150313,6611.9,679.8,0.1028,13122.0,333554.2,0.03934,0.01982
20150316,8978.0,962.3,0.1072,13048.9,341307.1,0.03823,0.0263
20150317,10986.6,1010.0,0.0919,13145.0,346272.3,0.03796,0.03173
20150318,11036.9,977.1,0.0885,13351.9,354772.3,0.03764,0.03111
20150319,10881.6,915.8,0.0842,13569.1,354893.1,0.03823,0.03066
20150320,11465.7,997.6,0.087,13769.8,359137.6,0.03834,0.03193
20150323,12074.5,1124.2,0.0931,13924.3,365935.7,0.03805,0.033
20150324,14162.4,1456.3,0.1028,14140.8,367705.2,0.03846,0.03852
20150325,12371.5,1306.7,0.1056,14356.5,366080.6,0.03922,0.03379
20150326,11801.5,1327.8,0.1125,14516.2,363842.5,0.0399,0.03244
20150327,9321.6,921.4,0.0988,14587.8,366351.8,0.03982,0.02544
20150330,11994.9,967.6,0.0807,14764.7,367861.6,0.04014,0.03261
20150331,12751.6,1011.0,0.0793,14858.8,366970.3,0.04049,0.03475
20150401,11100.6,1021.3,0.092,15099.5,374216.0,0.04035,0.02966
20150402,12150.6,1222.9,0.1006,15298.2,377182.1,0.04056,0.03221
20150403,12378.4,1254.5,0.1013,15450.2,380291.0,0.04063,0.03255
20150407,13860.7,1291.4,0.0932,15762.4,392577.5,0.04015,0.03531
20150408,15249.3,1418.1,0.093,15980.3,394198.3,0.04054,0.03868
20150409,14653.8,1298.5,0.0886,16223.0,389638.1,0.04164,0.03761
20150410,12324.5,1170.0,0.0949,16430.7,397593.6,0.04133,0.031
20150413,14200.7,1297.6,0.0914,16719.2,409734.5,0.0408,0.03466
20150414,14233.6,1256.6,0.0883,16994.3,410940.5,0.04135,0.03464
20150415,13283.6,1172.3,0.0883,17215.0,401425.2,0.04288,0.03309
20150416,11911.7,993.5,0.0834,17375.0,411940.9,0.04218,0.02892
20150417,15021.6,1046.0,0.0696,17251.4,420468.5,0.04103,0.03573
20150420,17734.3,1021.6,0.0576,17169.0,412610.3,0.04161,0.04298
20150421,14107.1,1003.3,0.0711,17301.2,424261.8,0.04078,0.03325
20150422,16278.5,1187.5,0.0729,17516.8,434157.3,0.04035,0.03749
20150423,16495.7,1253.3,0.076,17696.0,436866.2,0.04051,0.03776
20150424,15557.9,1231.8,0.0792,17804.2,436158.0,0.04082,0.03567
20150427,16102.0,1189.4,0.0739,18058.9,446818.3,0.04042,0.03604
20150428,16733.8,1106.1,0.0661,18135.0,439242.7,0.04129,0.0381
20150429,12776.7,1063.2,0.0832,18254.5,443518.9,0.04116,0.02881
20150430,13193.5,1198.8,0.0909,18310.2,441977.3,0.04143,0.02985
20150504,12149.0,1024.4,0.0843,18572.9,444078.1,0.04182,0.02736
20150505,13397.8,1008.0,0.0752,18675.2,426043.8,0.04383,0.03145
20150506,12317.8,1258.1,0.1021,18898.7,420956.8,0.04489,0.02926
20150507,9652.6,1085.2,0.1124,18999.8,404401.6,0.04698,0.02387
20150508,10710.0,1342.6,0.1254,18757.1,415121.2,0.04518,0.0258
20150511,13818.1,1706.8,0.1235,18823.1,431009.5,0.04367,0.03206
20150512,15118.7,1850.0,0.1224,18951.6,438654.5,0.0432,0.03447
20150513,15103.9,1718.3,0.1138,19140.5,437032.0,0.0438,0.03456
20150514,13640.4,1618.0,0.1186,19264.0,437478.1,0.04403,0.03118
20150515,13026.5,1442.5,0.1107,19289.4,432260.9,0.04462,0.03014
20150518,12271.5,1552.7,0.1265,19478.5,433085.3,0.04498,0.02833
20150519,13899.4,1697.3,0.1221,19768.8,446520.9,0.04427,0.03113
20150520,16188.8,1767.1,0.1092,20057.4,450400.2,0.04453,0.03594
20150521,15189.5,1788.8,0.1178,20247.8,463725.4,0.04366,0.03276
20150522,19566.5,2210.5,0.113,20139.9,472248.4,0.04265,0.04143
20150525,19891.7,1754.4,0.0882,20237.7,480906.5,0.04208,0.04136
20150526,21091.0,1807.5,0.0857,20427.1,495161.3,0.04125,0.04259
20150527,21048.5,1982.5,0.0942,20553.1,498260.2,0.04125,0.04224
20150528,23586.5,2205.4,0.0935,20675.0,460337.6,0.04491,0.05124
20150529,18533.9,2129.0,0.1149,20719.6,462208.6,0.04483,0.0401
20150601,17619.9,1885.4,0.107,21001.4,485455.8,0.04326,0.0363
20150602,19265.2,2130.0,0.1106,21301.0,498528.5,0.04273,0.03864
20150603,19739.0,2209.4,0.1119,21500.1,501678.4,0.04286,0.03935
20150604,19831.0,2070.4,0.1044,21645.9,505010.4,0.04286,0.03927
20150605,22515.3,1991.2,0.0884,21607.7,511332.0,0.04226,0.04403
20150608,22600.3,1805.9,0.0799,21656.0,517618.4,0.04184,0.04366
20150609,19315.6,1573.5,0.0815,21771.2,518316.5,0.042,0.03727
20150610,18155.6,1690.2,0.0931,21918.8,520489.7,0.04211,0.03488
20150611,17946.9,1675.4,0.0934,22058.5,524291.3,0.04207,0.03423
20150612,19632.7,1821.7,0.0928,22207.0,529171.6,0.04197,0.0371
20150615,19936.7,1848.2,0.0927,22319.3,511557.4,0.04363,0.03897
20150616,16990.7,1693.9,0.0997,22394.5,493145.8,0.04541,0.03445
20150617,15345.7,1561.3,0.1017,22550.4,505798.8,0.04458,0.03034
20150618,14598.8,1507.2,0.1032,22666.4,482690.0,0.04696,0.03024
20150619,12846.2,1363.6,0.1061,22610.9,452523.1,0.04997,0.02839
20150623,12961.1,1373.2,0.1059,22467.9,462927.6,0.04853,0.028
20150624,14890.0,1401.1,0.0941,22066.0,474637.1,0.04649,0.03137
20150625,15490.5,1338.3,0.0864,21818.4,459726.0,0.04746,0.0337
20150626,13407.9,1173.2,0.0875,21257.6,422424.4,0.05032,0.03174
20150629,15331.8,1163.8,0.0759,20840.7,400880.7,0.05199,0.03825
20150630,16606.4,1613.3,0.0971,20446.7,420293.9,0.04865,0.03951
20150701,15275.0,1700.4,0.1113,20305.7,396080.5,0.05127,0.03857
20150702,12863.3,1297.5,0.1009,19796.7,377651.3,0.05242,0.03406
20150703,11506.1,1283.3,0.1115,19067.5,349684.6,0.05453,0.0329
20150706,15499.0,1380.2,0.0891,17704.5,348920.7,0.05074,0.04442
20150707,10760.5,447.3,0.0416,16261.0,324826.8,0.05006,0.03313
20150708,11137.8,929.5,0.0835,14560.8,265385.8,0.05487,0.04197
20150709,9495.2,583.3,0.0614,14380.1,276634.1,0.05198,0.03432
20150710,9266.9,456.4,0.0493,14382.5,301019.1,0.04778,0.03079
20150713,11721.4,856.7,0.0731,14369.8,342121.4,0.042,0.03426
20150714,13202.5,1215.2,0.092,14389.2,355556.3,0.04047,0.03713
20150715,12444.2,1354.6,0.1089,14199.0,348809.2,0.04071,0.03568
20150716,10769.0,1318.8,0.1225,14186.7,352281.7,0.04027,0.03057
20150717,10997.5,1290.7,0.1174,14255.9,370959.3,0.03843,0.02965
20150720,13191.1,1692.4,0.1283,14238.3,382165.4,0.03726,0.03452
20150721,12064.9,1485.4,0.1231,14326.7,387803.5,0.03694,0.03111
20150722,12833.5,1533.0,0.1194,14364.2,390396.6,0.03679,0.03287
20150723,13972.7,1581.0,0.1132,14554.3,400463.0,0.03634,0.03489
20150724,15865.3,1859.0,0.1172,14544.2,394525.1,0.03687,0.04021
20150727,13882.7,1698.3,0.1223,14269.3,356405.7,0.04004,0.03895
20150728,13026.0,1547.4,0.1188,13793.0,351433.7,0.03925,0.03707
20150729,10796.4,1443.5,0.1337,13691.7,367729.1,0.03723,0.02936
20150730,11562.5,1380.8,0.1194,13679.0,357045.1,0.03831,0.03238
20150731,8779.7,1085.1,0.1236,13354.2,353606.1,0.03777,0.02483
20150803,8477.3,1045.3,0.1233,12938.1,345868.0,0.03741,0.02451
20150804,9059.6,1112.3,0.1228,13093.8,361066.3,0.03626,0.02509
20150805,9599.4,1239.5,0.1291,13091.1,355644.6,0.03681,0.02699
20150806,7069.1,877.8,0.1242,13053.9,352374.4,0.03705,0.02006
20150807,8937.2,1198.6,0.1341,13142.3,361972.9,0.03631,0.02469
20150810,12265.4,1408.3,0.1148,13372.1,380008.1,0.03519,0.03228
20150811,13347.7,1455.1,0.109,13511.4,381530.2,0.03541,0.03498
20150812,11029.4,1151.3,0.1044,13556.8,376000.9,0.03606,0.02933
20150813,10760.3,1087.5,0.1011,13694.7,384031.9,0.03566,0.02802
20150814,12212.0,1183.2,0.0969,13748.5,386624.0,0.03556,0.03159
20150817,11866.8,1031.7,0.0869,13892.3,389437.0,0.03567,0.03047
20150818,13889.5,1371.4,0.0987,13687.2,362017.2,0.03781,0.03837
20150819,11459.5,1151.9,0.1005,13618.8,370537.7,0.03675,0.03093
20150820,9817.6,1096.3,0.1117,13538.1,356054.7,0.03802,0.02757
20150821,8687.5,906.5,0.1043,13236.5,337473.6,0.03922,0.02574
20150824,6303.5,530.0,0.0841,12454.9,306981.0,0.04057,0.02053
20150825,6450.3,591.4,0.0917,11601.9,280920.8,0.0413,0.02296
20150826,8931.3,969.0,0.1085,11078.2,274716.2,0.04033,0.03251
20150827,7647.4,838.9,0.1097,10745.5,288857.5,0.0372,0.02647
20150828,8988.8,979.1,0.1089,10722.4,306215.4,0.03502,0.02935
20150831,7961.4,772.1,0.097,10559.6,302204.4,0.03494,0.02634
20150901,7251.4,637.4,0.0879,10122.2,294852.8,0.03433,0.02459
20150902,7482.7,736.6,0.0984,9591.5,292999.5,0.03274,0.02554
20150907,6022.5,735.2,0.1221,9754.2,286337.5,0.03407,0.02103
20150908,5236.1,718.1,0.1371,9729.6,298306.0,0.03262,0.01755
20150909,8440.1,1088.5,0.129,9872.8,308503.0,0.032,0.02736
20150910,6102.3,748.4,0.1226,9841.9,305065.3,0.03226,0.02
20150911,5155.4,686.0,0.1331,9818.4,306352.0,0.03205,0.01683
20150914,6802.8,682.2,0.1003,9534.0,289952.7,0.03288,0.02346
20150915,4772.0,594.6,0.1246,9327.2,277218.2,0.03365,0.01721
20150916,5662.1,712.2,0.1258,9351.8,294498.3,0.03175,0.01923
20150917,6974.9,953.9,0.1368,9383.4,287564.1,0.03263,0.02426
20150918,4720.7,748.2,0.1585,9362.1,290903.8,0.03218,0.01623
20150921,5727.3,904.3,0.1579,9378.9,300757.6,0.03118,0.01904
20150922,6722.2,1014.7,0.151,9384.8,303850.7,0.03089,0.02212
20150923,5786.1,893.6,0.1544,9370.2,296361.2,0.03162,0.01952
20150924,5500.3,947.7,0.1723,9372.1,300074.7,0.03123,0.01833
20150925,5613.2,858.9,0.153,9247.0,293960.1,0.03146,0.0191
20150928,4041.5,799.2,0.1978,9258.1,298585.7,0.03101,0.01354
20150929,4205.2,841.0,0.2,9182.9,292243.9,0.03142,0.01439
20150930,3710.2,641.5,0.1729,9040.5,295113.6,0.03063,0.01257
20151008,5870.1,902.1,0.1537,9195.4,304699.0,0.03018,0.01927
20151009,5960.3,922.1,0.1547,9208.9,306772.7,0.03002,0.01943
20151012,9240.8,1264.4,0.1368,9450.1,319236.8,0.0296,0.02895
20151013,7657.5,1150.5,0.1502,9494.6,320389.2,0.02963,0.0239
20151014,7686.4,1183.3,0.1539,9548.6,319079.3,0.02993,0.02409
20151015,8251.3,1298.0,0.1573,9660.9,324187.8,0.0298,0.02545
20151016,9934.7,1472.9,0.1483,9698.1,329770.2,0.02941,0.03013
20151019,9961.3,1379.3,0.1385,9821.9,328923.4,0.02986,0.03028
20151020,9044.0,1406.9,0.1556,9930.9,334908.5,0.02965,0.027
20151021,11710.3,1748.6,0.1493,9850.9,320187.5,0.03077,0.03657
20151022,8923.7,1467.5,0.1645,9983.0,328601.4,0.03038,0.02716
20151023,10405.4,1713.5,0.1647,10076.3,336969.7,0.0299,0.03088
20151026,11066.2,1739.3,0.1572,10210.0,343340.7,0.02974,0.03223
20151027,9926.8,1574.6,0.1586,10276.4,344478.3,0.02983,0.02882
20151028,9161.2,1508.9,0.1647,10253.7,338275.4,0.03031,0.02708
20151029,7493.4,1146.4,0.153,10321.5,340862.9,0.03028,0.02198
20151030,8015.9,1297.4,0.1618,10302.1,340542.1,0.03025,0.02354
20151102,7426.1,1232.5,0.166,10277.2,334177.6,0.03075,0.02222
20151103,6256.2,1068.2,0.1707,10289.6,333409.6,0.03086,0.01876
20151104,9931.5,1526.4,0.1537,10494.6,351454.3,0.02986,0.02826
20151105,13729.2,1728.9,0.1259,10674.9,356522.3,0.02994,0.03851
20151106,11736.6,1640.1,0.1397,10808.4,366544.1,0.02949,0.03202
20151109,13675.6,1912.4,0.1398,11140.3,374609.4,0.02974,0.03651
20151110,12545.7,1801.9,0.1436,11351.4,375846.2,0.0302,0.03338
20151111,11411.4,1901.7,0.1666,11499.1,378763.2,0.03036,0.03013
20151112,12311.0,2101.7,0.1707,11632.7,377979.9,0.03078,0.03257
20151113,11369.5,1812.7,0.1594,11642.0,371984.5,0.0313,0.03056
20151116,9082.0,1470.3,0.1619,11769.4,375479.8,0.03135,0.02419
20151117,12718.6,1996.9,0.157,11945.3,374555.7,0.03189,0.03396
20151118,9429.6,1404.5,0.1489,11954.8,373304.3,0.03202,0.02526
20151119,8600.0,1487.3,0.1729,12093.2,381789.0,0.03168,0.02253
20151120,10793.9,1839.0,0.1704,12189.2,384438.8,0.03171,0.02808
20151123,10731.5,1782.6,0.1661,12150.9,381676.5,0.03184,0.02812
20151124,8585.7,1501.5,0.1749,12171.9,384519.6,0.03165,0.02233
20151125,10197.7,1931.4,0.1894,12191.8,390354.6,0.03123,0.02612
20151126,11064.8,1873.0,0.1693,12173.4,388437.5,0.03134,0.02849
20151127,11418.9,1832.5,0.1605,11943.1,362922.7,0.03291,0.03146
20151130,9821.4,1673.6,0.1704,11932.6,366879.0,0.03252,0.02677
20151201,8418.4,1446.6,0.1718,11952.4,367579.8,0.03252,0.0229
20151202,8380.1,1196.4,0.1428,11908.1,374404.8,0.03181,0.02238
20151203,7947.7,1253.1,0.1577,11849.5,381656.1,0.03105,0.02082
20151204,8225.4,1417.4,0.1723,11642.1,376745.1,0.0309,0.02183
20151207,7498.1,1301.5,0.1736,11632.7,381055.2,0.03053,0.01968
20151208,7880.7,1422.0,0.1804,11555.9,374356.4,0.03087,0.02105
20151209,7170.3,1279.5,0.1785,11541.3,375112.1,0.03077,0.01911
20151210,7278.5,1268.8,0.1743,11520.5,373803.3,0.03082,0.01947
20151211,6318.1,1063.0,0.1682,11511.8,371648.7,0.03097,0.017
20151214,6711.3,1021.8,0.1523,11652.9,381495.7,0.03055,0.01759
20151215,7135.8,1108.5,0.1553,11686.2,383259.4,0.03049,0.01862
20151216,7272.0,1206.6,0.1659,11716.8,384784.1,0.03045,0.0189
20151217,9951.4,1587.9,0.1596,11706.3,392685.9,0.02981,0.02534
20151218,9579.0,1501.0,0.1567,11710.5,392286.9,0.02985,0.02442
20151221,9412.9,1223.4,0.13,11806.7,396788.5,0.02976,0.02372
20151222,8729.1,1144.5,0.1311,11904.8,398427.7,0.02988,0.02191
20151223,9952.5,1332.5,0.1339,12024.5,395571.7,0.0304,0.02516
20151224,7482.6,1077.0,0.1439,12080.8,392544.6,0.03078,0.01906
20151225,6828.9,1054.5,0.1544,12076.8,397612.9,0.03037,0.01717
20151228,8932.9,1281.1,0.1434,11864.8,387917.0,0.03059,0.02303
